UserID,RG_case,Missing_Daily_Transactions,First_Deposit_Date,Registration_date,CountryName,LanguageName,Gender,YearofBirth,age_at_registration,sum_stakes_fixedodds,sum_bets_fixedodds,bettingdays_fixedodds,duration_fixedodds,frequency_fixedodds,bets_per_day_fixedodds,euros_per_bet_fixedodds,net_loss_fixedodds,percent_lost_fixedodds,sum_stakes_liveaction,sum_bets_liveaction,bettingdays_liveaction,duration_liveaction,frequency_liveaction,bets_per_day_liveaction,euros_per_bet_liveaction,net_loss_liveaction,percent_lost_liveaction,sum_stakes_casino,sum_bets_casino,bettingdays_casino,duration_casino,frequency_casino,bets_per_day_casino,euros_per_bet_casino,net_loss_casino,percent_lost_casino,net_loss_fixedodds_nonzero,percent_lost_fixedodds_nonzero,net_loss_liveaction_nonzero,percent_lost_liveaction_nonzero,net_loss_casino_nonzero,percent_lost_casino_nonzero,sum_stakes_fixedodds_sqrt,sum_bets_fixedodds_sqrt,bettingdays_fixedodds_sqrt,duration_fixedodds_sqrt,frequency_fixedodds_sqrt,bets_per_day_fixedodds_sqrt,euros_per_bet_fixedodds_sqrt,net_loss_fixedodds_nonzero_sqrt,percent_lost_fixedodds_nonzero_s,sum_stakes_liveaction_sqrt,sum_bets_liveaction_sqrt,bettingdays_liveaction_sqrt,duration_liveaction_sqrt,frequency_liveaction_sqrt,bets_per_day_liveaction_sqrt,euros_per_bet_liveaction_sqrt,net_loss_liveaction_nonzero_sqrt,percent_lost_liveaction_nonzero_,sum_stakes_casino_sqrt,sum_bets_casino_sqrt,bettingdays_casino_sqrt,duration_casino_sqrt,frequency_casino_sqrt,bets_per_day_casino_sqrt,euros_per_bet_casino_sqrt,net_loss_casino_nonzero_sqrt,percent_lost_casino_nonzero_sqrt,sum_stakes_fixedodds_sqrt_zeros,sum_bets_fixedodds_sqrt_zeros,bettingdays_fixedodds_sqrt_zeros,duration_fixedodds_sqrt_zeros,frequency_fixedodds_sqrt_zeros,bets_per_day_fixedodds_sqrt_zero,euros_per_bet_fixedodds_sqrt_zer,net_loss_fixedodds_sqrt_zeros,percent_lost_fixedodds_sqrt_zero,sum_stakes_liveaction_sqrt_zeros,sum_bets_liveaction_sqrt_zeros,bettingdays_liveaction_sqrt_zero,duration_liveaction_sqrt_zeros,frequency_liveaction_sqrt_zeros,bets_per_day_liveaction_sqrt_zer,euros_per_bet_liveaction_sqrt_ze,net_loss_liveaction_sqrt_zeros,percent_lost_liveaction_sqrt_zer,sum_stakes_casino_sqrt_zeros,sum_bets_casino_sqrt_zeros,bettingdays_casino_sqrt_zeros,duration_casino_sqrt_zeros,frequency_casino_sqrt_zeros,bets_per_day_casino_sqrt_zeros,euros_per_bet_casino_sqrt_zeros,net_loss_casino_sqrt_zeros,percent_lost_casino_sqrt_zeros,time_to_deposit
31965,1,0,05/08/2000,09/17/1999,Germany.COM,German,M,1971,27,7818.2303,837,391,3759,0.1040170258,2.1406649616,9.3407769415,1459.0826,0.1866256869,94365.54,10359,952,2917,0.3263627014,10.881302521,9.1095221546,12494.02,0.1324002385,20366.85,1672,18,1317,0.013667426,92.888888889,12.181130383,908.25,0.0445945249,34677.0826,13.186625687,34557.02,8.1324002385,36760.25,7.0445945249,88.420757178,28.930952283,19.773719933,61.310684224,0.3225167062,1.4631011454,3.0562684668,186.21783642,3.6313393792,307.18974592,101.77917272,30.854497241,54.009258466,0.5712816306,3.2986819369,3.0181984949,185.89518552,2.851736355,142.71247318,40.890096601,4.2426406871,36.290494623,0.1169077669,9.6378881965,3.4901476162,191.72962734,2.6541655044,88.420757178,28.930952283,19.773719933,61.310684224,0.3225167062,1.4631011454,3.0562684668,186.21783642,3.6313393792,307.18974592,101.77917272,30.854497241,54.009258466,0.5712816306,3.2986819369,3.0181984949,185.89518552,2.851736355,142.71247318,40.890096601,4.2426406871,36.290494623,0.1169077669,9.6378881965,3.4901476162,191.72962734,2.6541655044,234
32639,0,0,11/21/2002,10/03/1999,Austria,German,M,1969,29,519.78,29,12,162,0.0740740741,2.4166666667,17.923448276,93.03,0.1789795683,5.35,1,1,1,1,1,5.35,5.35,1,,,,,,,,,,33311.03,13.178979568,22068.35,9,,,22.798684173,5.3851648071,3.4641016151,12.727922061,0.272165527,1.5545631755,4.2336093674,182.51309542,3.6302864306,2.3130067012,1,1,1,1,1,2.3130067012,148.55419886,3,,,,,,,,,,22.798684173,5.3851648071,3.4641016151,12.727922061,0.272165527,1.5545631755,4.2336093674,182.51309542,3.6302864306,2.3130067012,1,1,1,1,1,2.3130067012,148.55419886,3,0,0,0,0,0,0,0,0,0,1145
36822,0,0,05/08/2000,03/20/2000,Austria,German,M,1970,29,73.868,32,7,2242,0.0031222123,4.5714285714,2.308375,21.668,0.2933340553,24,6,2,7,0.2857142857,3,4,-24.7,-1.029166667,,,,,,,,,,33239.668,13.293334055,22038.3,6.9708333333,,,8.5946494984,5.6568542495,2.6457513111,47.349762407,0.05587676,2.1380899353,1.5193337356,182.3174923,3.646002476,4.8989794856,2.4494897428,1.4142135624,2.6457513111,0.5345224838,1.7320508076,2,148.45302287,2.6402335755,,,,,,,,,,8.5946494984,5.6568542495,2.6457513111,47.349762407,0.05587676,2.1380899353,1.5193337356,182.3174923,3.646002476,4.8989794856,2.4494897428,1.4142135624,2.6457513111,0.5345224838,1.7320508076,2,148.45302287,2.6402335755,0,0,0,0,0,0,0,0,0,49
36916,1,0,06/13/2000,03/21/2000,Austria,German,M,1969,31,4372.9836,380,85,1617,0.0525664811,4.4705882353,11.507851579,551.2031,0.1260473742,79,3,2,161,0.0124223602,1.5,26.333333333,79,1,20890.75,9194,8,3076,0.0026007802,1149.25,2.2722155754,1139,0.0545217381,33769.2031,13.126047374,22142,9,36991,7.0545217381,66.128538469,19.49358869,9.2195444573,40.211938526,0.2292738126,2.1143765595,3.3923224462,183.76398749,3.622988735,8.8881944173,1.7320508076,1.4142135624,12.68857754,0.1114556425,1.2247448714,5.1316014394,148.80188171,3,144.53632761,95.885348203,2.8284271247,55.461698495,0.0509978454,33.900589965,1.5073870025,192.33044481,2.6560349655,66.128538469,19.49358869,9.2195444573,40.211938526,0.2292738126,2.1143765595,3.3923224462,183.76398749,3.622988735,8.8881944173,1.7320508076,1.4142135624,12.68857754,0.1114556425,1.2247448714,5.1316014394,148.80188171,3,144.53632761,95.885348203,2.8284271247,55.461698495,0.0509978454,33.900589965,1.5073870025,192.33044481,2.6560349655,84
38386,1,0,06/09/2000,04/21/2000,Austria,German,M,1974,25,251.1924,143,36,1162,0.0309810671,3.9722222222,1.7565902098,73.2527,0.2916198898,,,,,,,,,,4,4,1,1,1,4,1,4,1,33291.2527,13.29161989,,,35856,8,15.849050445,11.958260743,6,34.088121098,0.1760143947,1.9930434572,1.3253641801,182.45890688,3.6457673938,,,,,,,,,,2,2,1,1,1,2,1,189.35680606,2.8284271247,15.849050445,11.958260743,6,34.088121098,0.1760143947,1.9930434572,1.3253641801,182.45890688,3.6457673938,0,0,0,0,0,0,0,0,0,2,2,1,1,1,2,1,189.35680606,2.8284271247,49
74438,0,0,06/09/2000,06/09/2000,Austria,German,M,1975,25,12957.5614,717,220,3330,0.0660660661,3.2590909091,18.071912692,-612.3951,-0.047261601,1118,24,15,1625,0.0092307692,1.6,46.583333333,437.7,0.3915026834,1809817,9938,85,2741,0.0310105801,116.91764706,182.11078688,37173.5,0.020539922,32605.6049,12.952738399,22500.7,8.3915026834,73025.5,7.020539922,113.8312848,26.776855678,14.832396974,57.706152185,0.2570332003,1.8052952415,4.2511072313,180.57022152,3.598991303,33.436506995,4.8989794856,3.8729833462,40.311288741,0.0960768923,1.2649110641,6.8251984098,150.00233332,2.8968090519,1345.2943916,99.689518005,9.2195444573,52.354560451,0.1760982115,10.81284639,13.494842973,270.23230747,2.6496301482,113.8312848,26.776855678,14.832396974,57.706152185,0.2570332003,1.8052952415,4.2511072313,180.57022152,3.598991303,33.436506995,4.8989794856,3.8729833462,40.311288741,0.0960768923,1.2649110641,6.8251984098,150.00233332,2.8968090519,1345.2943916,99.689518005,9.2195444573,52.354560451,0.1760982115,10.81284639,13.494842973,270.23230747,2.6496301482,0
80281,0,0,06/13/2000,06/13/2000,Austria,German,M,1970,29,452.2123,72,37,724,0.0511049724,1.9459459459,6.2807263889,18.6278,0.0411925991,,,,,,,,,,,,,,,,,,,33236.6278,13.041192599,,,,,21.265283915,8.4852813742,6.0827625303,26.907248094,0.2260640891,1.3949716649,2.5061377434,182.30915446,3.6112591432,,,,,,,,,,,,,,,,,,,21.265283915,8.4852813742,6.0827625303,26.907248094,0.2260640891,1.3949716649,2.5061377434,182.30915446,3.6112591432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90746,0,0,06/16/2004,06/21/2000,Austria,German,M,1981,19,85.8048,42,20,2199,0.0090950432,2.1,2.0429714286,32.4548,0.378239912,10.5,12,6,2193,0.0027359781,2,0.875,-10.1,-0.961904762,,,,,,,,,,33250.4548,13.378239912,22052.9,7.0380952381,,,9.263088038,6.4807406984,4.472135955,46.893496351,0.0953679359,1.4491376746,1.4293255153,182.34707236,3.6576276344,3.2403703492,3.4641016151,2.4494897428,46.829477896,0.0523065781,1.4142135624,0.9354143467,148.50218854,2.6529408659,,,,,,,,,,9.263088038,6.4807406984,4.472135955,46.893496351,0.0953679359,1.4491376746,1.4293255153,182.34707236,3.6576276344,3.2403703492,3.4641016151,2.4494897428,46.829477896,0.0523065781,1.4142135624,0.9354143467,148.50218854,2.6529408659,0,0,0,0,0,0,0,0,0,1456
91707,1,0,06/25/2000,06/24/2000,Austria,German,M,1966,34,2850.1087,82,43,3665,0.0117326057,1.9069767442,34.757423171,-42.8122,-0.015021252,101,5,2,20,0.1,2.5,20.2,-6.25,-0.061881188,6068694.75,183467,835,2101,0.3974297953,219.72095808,33.077854601,148866.24,0.0245301908,33175.1878,12.984978748,22056.75,7.9381188119,184718.24,7.0245301908,53.386409319,9.0553851381,6.5574385243,60.539243471,0.1083171534,1.3809332874,5.8955426528,182.14057154,3.6034676006,10.049875621,2.2360679775,1.4142135624,4.472135955,0.316227766,1.5811388301,4.4944410108,148.51515074,2.8174667366,2463.4720924,428.33047989,28.896366554,45.836666545,0.6304203323,14.822987488,5.7513350277,429.7885992,2.6503830272,53.386409319,9.0553851381,6.5574385243,60.539243471,0.1083171534,1.3809332874,5.8955426528,182.14057154,3.6034676006,10.049875621,2.2360679775,1.4142135624,4.472135955,0.316227766,1.5811388301,4.4944410108,148.51515074,2.8174667366,2463.4720924,428.33047989,28.896366554,45.836666545,0.6304203323,14.822987488,5.7513350277,429.7885992,2.6503830272,1
92140,0,0,06/25/2000,06/25/2000,Austria,German,M,1973,27,13951.7251,542,251,2474,0.1014551334,2.1593625498,25.741190221,159.8051,0.0114541463,115.57,18,9,1394,0.006456241,2,6.4205555556,28.52,0.2467768452,356217.66,20910,182,1476,0.1233062331,114.89010989,17.035756098,2688.52,0.007547408,33377.8051,13.011454146,22091.52,8.2467768452,38540.52,7.007547408,118.11742082,23.280893454,15.842979518,49.739320462,0.3185202245,1.4694769647,5.073577655,182.69593619,3.60713933,10.750348832,4.2426406871,3,37.336309405,0.0803507376,1.4142135624,2.5338815196,148.63216341,2.8717201892,596.83972723,144.60290454,13.490737563,38.418745425,0.3511498727,10.718680417,4.1274394117,196.31739607,2.6471772528,118.11742082,23.280893454,15.842979518,49.739320462,0.3185202245,1.4694769647,5.073577655,182.69593619,3.60713933,10.750348832,4.2426406871,3,37.336309405,0.0803507376,1.4142135624,2.5338815196,148.63216341,2.8717201892,596.83972723,144.60290454,13.490737563,38.418745425,0.3511498727,10.718680417,4.1274394117,196.31739607,2.6471772528,0
